,filename,position
0,00006434.json,pa
1,00006435.json,pa
2,00006436.json,pa
3,00006437.json,supine
4,00006438.json,pa
5,00006439.json,pa
6,00006440.json,lateral
7,00006441.json,pa
8,00006442.json,pa
9,00006443.json,pa
10,00006444.json,pa
11,00006445.json,pa
12,00006446.json,supine
13,00006447.json,supine
14,00006448.json,supine
15,00006449.json,supine
16,00006450.json,supine
17,00006451.json,ap
18,00006452.json,ap
19,00006453.json,pa
20,00006454.json,supine
21,00006455.json,supine
22,00006456.json,supine
23,00006457.json,ap
24,00006458.json,ap
25,00006459.json,ap
26,00006460.json,ap
27,00006461.json,axial
28,00006462.json,axial
29,00006463.json,axial
30,00006464.json,axial
31,00006465.json,ap
32,00006466.json,ap
33,00006467.json,ap
34,00006468.json,supine
35,00006469.json,ap
36,00006470.json,ap
37,00006471.json,pa
38,00006472.json,pa
39,00006473.json,pa
40,00006474.json,pa
41,00006475.json,pa
42,00006476.json,pa
43,00006477.json,ap
44,00006478.json,ap
45,00006479.json,ap
46,00006480.json,ap
47,00006481.json,supine
48,00006482.json,supine
49,00006483.json,supine
50,00006484.json,ap
51,00006485.json,ap
52,00006486.json,pa
53,00006487.json,pa
54,00006488.json,pa
55,00006490.json,ap
56,00006491.json,pa
57,00006492.json,pa
58,00006493.json,supine
59,00006494.json,pa
60,00006495.json,pa
61,00006496.json,pa
62,00006497.json,pa
63,00006498.json,pa
64,00006499.json,pa
65,00006500.json,pa
66,00006501.json,pa
67,00006502.json,pa
68,00006503.json,pa
69,00006504.json,supine
70,00006505.json,pa
71,00006506.json,supine
72,00006507.json,supine
73,00006508.json,lateral
74,00006509.json,lateral
75,00006510.json,supine
76,00006511.json,lateral
77,00006512.json,pa
78,00006513.json,lateral
79,00006514.json,lateral
80,00006515.json,lateral
81,00006516.json,pa
82,00006517.json,lateral
83,00006518.json,lateral
84,00006519.json,pa
85,00006520.json,supine
86,00006521.json,pa
87,00006522.json,ap
88,00006523.json,pa
89,00006524.json,pa
90,00006525.json,pa
91,00006526.json,supine
92,00006527.json,pa
93,00006528.json,pa
94,00006529.json,supine
95,00006530.json,axial
96,00006531.json,supine
97,00006532.json,supine
98,00006533.json,ap
99,00006534.json,supine
100,00006535.json,lateral
101,00006536.json,pa
102,00006537.json,pa
103,00006538.json,supine
104,00006539.json,supine
105,00006540.json,ap
106,00006541.json,pa
107,00006542.json,lateral
108,00006543.json,supine
109,00006544.json,supine
110,00006545.json,ap
111,00006546.json,ap
112,00006547.json,pa
113,00006548.json,pa
114,00006549.json,pa
115,00006550.json,pa
116,00006551.json,axial
117,00006552.json,pa
118,00006553.json,pa
119,00006554.json,pa
120,00006555.json,pa
121,00006556.json,pa
122,00006557.json,pa
123,00006558.json,pa
124,00006559.json,pa
125,00006560.json,pa
126,00006561.json,pa
127,00006562.json,pa
128,00006563.json,supine
129,00006564.json,ap
130,00006565.json,supine
131,00006566.json,pa
132,00006567.json,supine
133,00006568.json,pa
134,00006569.json,pa
135,00006570.json,pa
